,year,Region,population_density
0,2010,NCR,19136.0
1,2011,NCR,19460.0
2,2012,NCR,19784.0
3,2013,NCR,20108.0
4,2014,NCR,20432.0
5,2015,NCR,20756.0
6,2016,NCR,21091.0
7,2017,NCR,21410.0
8,2018,NCR,21715.0
9,2019,NCR,22005.0
10,2020,NCR,22282.0
11,2021,NCR,22004.0
12,2022,NCR,22234.0
13,2023,NCR,22457.0
14,2024,NCR,22671.0
15,2025,NCR,22878.0
16,2026,NCR,23088.0
17,2027,NCR,23300.0
18,2028,NCR,23513.0
19,2029,NCR,23729.0
20,2030,NCR,23947.0
21,2010,CAR,81.0
22,2011,CAR,82.0
23,2012,CAR,83.0
24,2013,CAR,84.0
25,2014,CAR,85.0
26,2015,CAR,86.0
27,2016,CAR,87.0
28,2017,CAR,88.0
29,2018,CAR,89.0
30,2019,CAR,90.0
31,2020,CAR,91.0
32,2021,CAR,91.0
33,2022,CAR,92.0
34,2023,CAR,93.0
35,2024,CAR,94.0
36,2025,CAR,95.0
37,2026,CAR,96.0
38,2027,CAR,97.0
39,2028,CAR,98.0
40,2029,CAR,99.0
41,2030,CAR,100.0
42,2010,I - Ilocos,366.0
43,2011,I - Ilocos,370.0
44,2012,I - Ilocos,374.0
45,2013,I - Ilocos,378.0
46,2014,I - Ilocos,383.0
47,2015,I - Ilocos,387.0
48,2016,I - Ilocos,391.0
49,2017,I - Ilocos,395.0
50,2018,I - Ilocos,399.0
51,2019,I - Ilocos,403.0
52,2020,I - Ilocos,406.0
53,2021,I - Ilocos,413.0
54,2022,I - Ilocos,418.0
55,2023,I - Ilocos,423.0
56,2024,I - Ilocos,427.0
57,2025,I - Ilocos,432.0
58,2026,I - Ilocos,436.0
59,2027,I - Ilocos,441.0
60,2028,I - Ilocos,445.0
61,2029,I - Ilocos,450.0
62,2030,I - Ilocos,454.0
63,2010,II - Cagayan,108.0
64,2011,II - Cagayan,109.0
65,2012,II - Cagayan,111.0
66,2013,II - Cagayan,112.0
67,2014,II - Cagayan,114.0
68,2015,II - Cagayan,115.0
69,2016,II - Cagayan,117.0
70,2017,II - Cagayan,118.0
71,2018,II - Cagayan,119.0
72,2019,II - Cagayan,121.0
73,2020,II - Cagayan,122.0
74,2021,II - Cagayan,124.0
75,2022,II - Cagayan,126.0
76,2023,II - Cagayan,127.0
77,2024,II - Cagayan,129.0
78,2025,II - Cagayan,130.0
79,2026,II - Cagayan,131.0
80,2027,II - Cagayan,132.0
81,2028,II - Cagayan,134.0
82,2029,II - Cagayan,135.0
83,2030,II - Cagayan,136.0
84,2010,III - C. Luzon,462.0
85,2011,III - C. Luzon,472.0
86,2012,III - C. Luzon,482.0
87,2013,III - C. Luzon,491.0
88,2014,III - C. Luzon,501.0
89,2015,III - C. Luzon,511.0
90,2016,III - C. Luzon,522.0
91,2017,III - C. Luzon,532.0
92,2018,III - C. Luzon,542.0
93,2019,III - C. Luzon,552.0
94,2020,III - C. Luzon,562.0
95,2021,III - C. Luzon,573.0
96,2022,III - C. Luzon,579.0
97,2023,III - C. Luzon,585.0
98,2024,III - C. Luzon,590.0
99,2025,III - C. Luzon,596.0
100,2026,III - C. Luzon,601.0
101,2027,III - C. Luzon,607.0
102,2028,III - C. Luzon,613.0
103,2029,III - C. Luzon,618.0
104,2030,III - C. Luzon,624.0
105,2010,IVA - Calabarzon,760.0
106,2011,IVA - Calabarzon,782.0
107,2012,IVA - Calabarzon,803.0
108,2013,IVA - Calabarzon,825.0
109,2014,IVA - Calabarzon,846.0
110,2015,IVA - Calabarzon,867.0
111,2016,IVA - Calabarzon,889.0
112,2017,IVA - Calabarzon,910.0
113,2018,IVA - Calabarzon,930.0
114,2019,IVA - Calabarzon,949.0
115,2020,IVA - Calabarzon,968.0
116,2021,IVA - Calabarzon,989.0
117,2022,IVA - Calabarzon,1001.0
118,2023,IVA - Calabarzon,1012.0
119,2024,IVA - Calabarzon,1024.0
120,2025,IVA - Calabarzon,1034.0
121,2026,IVA - Calabarzon,1045.0
122,2027,IVA - Calabarzon,1056.0
123,2028,IVA - Calabarzon,1067.0
124,2029,IVA - Calabarzon,1079.0
125,2030,IVA - Calabarzon,1090.0
126,2010,MIMAROPA,92.0
127,2011,MIMAROPA,94.0
128,2012,MIMAROPA,95.0
129,2013,MIMAROPA,97.0
130,2014,MIMAROPA,98.0
131,2015,MIMAROPA,99.0
132,2016,MIMAROPA,101.0
133,2017,MIMAROPA,103.0
134,2018,MIMAROPA,104.0
135,2019,MIMAROPA,105.0
136,2020,MIMAROPA,107.0
137,2021,MIMAROPA,110.0
138,2022,MIMAROPA,111.0
139,2023,MIMAROPA,112.0
140,2024,MIMAROPA,113.0
141,2025,MIMAROPA,114.0
142,2026,MIMAROPA,115.0
143,2027,MIMAROPA,116.0
144,2028,MIMAROPA,117.0
145,2029,MIMAROPA,118.0
146,2030,MIMAROPA,119.0
147,2010,V - Bicol,299.0
148,2011,V - Bicol,303.0
149,2012,V - Bicol,307.0
150,2013,V - Bicol,311.0
151,2014,V - Bicol,315.0
152,2015,V - Bicol,319.0
153,2016,V - Bicol,323.0
154,2017,V - Bicol,327.0
155,2018,V - Bicol,331.0
156,2019,V - Bicol,335.0
157,2020,V - Bicol,338.0
158,2021,V - Bicol,339.0
159,2022,V - Bicol,343.0
160,2023,V - Bicol,347.0
161,2024,V - Bicol,350.0
162,2025,V - Bicol,354.0
163,2026,V - Bicol,357.0
164,2027,V - Bicol,361.0
165,2028,V - Bicol,364.0
166,2029,V - Bicol,368.0
167,2030,V - Bicol,372.0
168,2010,VI - W. Visayas,556.0
169,2011,VI - W. Visayas,562.0
170,2012,VI - W. Visayas,569.0
171,2013,VI - W. Visayas,576.0
172,2014,VI - W. Visayas,582.0
173,2015,VI - W. Visayas,589.0
174,2016,VI - W. Visayas,595.0
175,2017,VI - W. Visayas,601.0
176,2018,VI - W. Visayas,607.0
177,2019,VI - W. Visayas,613.0
178,2020,VI - W. Visayas,618.0
179,2021,VI - W. Visayas,630.0
180,2022,VI - W. Visayas,637.0
181,2023,VI - W. Visayas,644.0
182,2024,VI - W. Visayas,650.0
183,2025,VI - W. Visayas,657.0
184,2026,VI - W. Visayas,663.0
185,2027,VI - W. Visayas,670.0
186,2028,VI - W. Visayas,676.0
187,2029,VI - W. Visayas,683.0
188,2030,VI - W. Visayas,690.0
189,2010,VII - C. Visayas,650.0
190,2011,VII - C. Visayas,661.0
191,2012,VII - C. Visayas,673.0
192,2013,VII - C. Visayas,684.0
193,2014,VII - C. Visayas,695.0
194,2015,VII - C. Visayas,706.0
195,2016,VII - C. Visayas,718.0
196,2017,VII - C. Visayas,730.0
197,2018,VII - C. Visayas,741.0
198,2019,VII - C. Visayas,751.0
199,2020,VII - C. Visayas,761.0
200,2021,VII - C. Visayas,782.0
201,2022,VII - C. Visayas,791.0
202,2023,VII - C. Visayas,799.0
203,2024,VII - C. Visayas,807.0
204,2025,VII - C. Visayas,815.0
205,2026,VII - C. Visayas,823.0
206,2027,VII - C. Visayas,831.0
207,2028,VII - C. Visayas,839.0
208,2029,VII - C. Visayas,847.0
209,2030,VII - C. Visayas,856.0
210,2010,VIII - E. Visayas,176.0
211,2011,VIII - E. Visayas,179.0
212,2012,VIII - E. Visayas,182.0
213,2013,VIII - E. Visayas,185.0
214,2014,VIII - E. Visayas,187.0
215,2015,VIII - E. Visayas,190.0
216,2016,VIII - E. Visayas,193.0
217,2017,VIII - E. Visayas,196.0
218,2018,VIII - E. Visayas,198.0
219,2019,VIII - E. Visayas,201.0
220,2020,VIII - E. Visayas,204.0
221,2021,VIII - E. Visayas,198.0
222,2022,VIII - E. Visayas,200.0
223,2023,VIII - E. Visayas,202.0
224,2024,VIII - E. Visayas,204.0
225,2025,VIII - E. Visayas,206.0
226,2026,VIII - E. Visayas,208.0
227,2027,VIII - E. Visayas,211.0
228,2028,VIII - E. Visayas,213.0
229,2029,VIII - E. Visayas,215.0
230,2030,VIII - E. Visayas,217.0
231,2010,IX - Zamboanga,201.0
232,2011,IX - Zamboanga,204.0
233,2012,IX - Zamboanga,206.0
234,2013,IX - Zamboanga,209.0
235,2014,IX - Zamboanga,211.0
236,2015,IX - Zamboanga,214.0
237,2016,IX - Zamboanga,216.0
238,2017,IX - Zamboanga,218.0
239,2018,IX - Zamboanga,220.0
240,2019,IX - Zamboanga,222.0
241,2020,IX - Zamboanga,223.0
242,2021,IX - Zamboanga,224.0
243,2022,IX - Zamboanga,226.0
244,2023,IX - Zamboanga,228.0
245,2024,IX - Zamboanga,231.0
246,2025,IX - Zamboanga,233.0
247,2026,IX - Zamboanga,235.0
248,2027,IX - Zamboanga,237.0
249,2028,IX - Zamboanga,240.0
250,2029,IX - Zamboanga,242.0
251,2030,IX - Zamboanga,244.0
252,2010,X - N. Mindanao,210.0
253,2011,X - N. Mindanao,213.0
254,2012,X - N. Mindanao,217.0
255,2013,X - N. Mindanao,221.0
256,2014,X - N. Mindanao,225.0
257,2015,X - N. Mindanao,228.0
258,2016,X - N. Mindanao,232.0
259,2017,X - N. Mindanao,235.0
260,2018,X - N. Mindanao,239.0
261,2019,X - N. Mindanao,242.0
262,2020,X - N. Mindanao,245.0
263,2021,X - N. Mindanao,248.0
264,2022,X - N. Mindanao,251.0
265,2023,X - N. Mindanao,254.0
266,2024,X - N. Mindanao,256.0
267,2025,X - N. Mindanao,259.0
268,2026,X - N. Mindanao,261.0
269,2027,X - N. Mindanao,264.0
270,2028,X - N. Mindanao,267.0
271,2029,X - N. Mindanao,269.0
272,2030,X - N. Mindanao,272.0
273,2010,XI - Davao,218.0
274,2011,XI - Davao,222.0
275,2012,XI - Davao,226.0
276,2013,XI - Davao,230.0
277,2014,XI - Davao,235.0
278,2015,XI - Davao,239.0
279,2016,XI - Davao,243.0
280,2017,XI - Davao,247.0
281,2018,XI - Davao,251.0
282,2019,XI - Davao,254.0
283,2020,XI - Davao,258.0
284,2021,XI - Davao,259.0
285,2022,XI - Davao,262.0
286,2023,XI - Davao,264.0
287,2024,XI - Davao,267.0
288,2025,XI - Davao,269.0
289,2026,XI - Davao,271.0
290,2027,XI - Davao,274.0
291,2028,XI - Davao,276.0
292,2029,XI - Davao,279.0
293,2030,XI - Davao,281.0
294,2010,XII - SOCCSKSARGEN,180.0
295,2011,XII - SOCCSKSARGEN,184.0
296,2012,XII - SOCCSKSARGEN,187.0
297,2013,XII - SOCCSKSARGEN,191.0
298,2014,XII - SOCCSKSARGEN,195.0
299,2015,XII - SOCCSKSARGEN,199.0
300,2016,XII - SOCCSKSARGEN,202.0
301,2017,XII - SOCCSKSARGEN,206.0
302,2018,XII - SOCCSKSARGEN,209.0
303,2019,XII - SOCCSKSARGEN,212.0
304,2020,XII - SOCCSKSARGEN,217.0
305,2021,XII - SOCCSKSARGEN,204.0
306,2022,XII - SOCCSKSARGEN,205.0
307,2023,XII - SOCCSKSARGEN,207.0
308,2024,XII - SOCCSKSARGEN,209.0
309,2025,XII - SOCCSKSARGEN,210.0
310,2026,XII - SOCCSKSARGEN,212.0
311,2027,XII - SOCCSKSARGEN,213.0
312,2028,XII - SOCCSKSARGEN,215.0
313,2029,XII - SOCCSKSARGEN,216.0
314,2030,XII - SOCCSKSARGEN,218.0
315,2010,XIII - Caraga,115.0
316,2011,XIII - Caraga,116.0
317,2012,XIII - Caraga,118.0
318,2013,XIII - Caraga,119.0
319,2014,XIII - Caraga,121.0
320,2015,XIII - Caraga,122.0
321,2016,XIII - Caraga,124.0
322,2017,XIII - Caraga,125.0
323,2018,XIII - Caraga,127.0
324,2019,XIII - Caraga,128.0
325,2020,XIII - Caraga,130.0
326,2021,XIII - Caraga,134.0
327,2022,XIII - Caraga,135.0
328,2023,XIII - Caraga,137.0
329,2024,XIII - Caraga,138.0
330,2025,XIII - Caraga,139.0
331,2026,XIII - Caraga,140.0
332,2027,XIII - Caraga,142.0
333,2028,XIII - Caraga,143.0
334,2029,XIII - Caraga,144.0
335,2030,XIII - Caraga,146.0
336,2010,BARMM,88.0
337,2011,BARMM,91.0
338,2012,BARMM,94.0
339,2013,BARMM,97.0
340,2014,BARMM,100.0
341,2015,BARMM,102.0
342,2016,BARMM,105.0
343,2017,BARMM,107.0
344,2018,BARMM,109.0
345,2019,BARMM,111.0
346,2020,BARMM,113.0
347,2021,BARMM,134.0
348,2022,BARMM,136.0
349,2023,BARMM,138.0
350,2024,BARMM,139.0
351,2025,BARMM,141.0
352,2026,BARMM,143.0
353,2027,BARMM,145.0
354,2028,BARMM,147.0
355,2029,BARMM,149.0
356,2030,BARMM,151.0
